SFIRST    SLAST     ADVFIRST  ADVLAST     STIME1    STIME2    STIME3    STIME4
Claire    Blake     Elizabeth Short      10190400  10190445  10200815  10191015
Jake      Jackson   Elizabeth Short      10200845  10211115  10190430  10211115
Steven    Martin    Brian     Lewis      10210400  10210845  10210415  10210400
Piers     Knox      Brian     Springer   10200145  10190930  10200130  10210300
Sophie    Carr      Adrian    Harris     10190815  10190445  10210900  10201115
Sophie    Alsop     Julian    Ogden      10210200  10200945  10210900  10190930
Anne      Poole     Liam      Mackay     10201200  10201200  10201215  10200115
Claire    Langdon   Liam      Mackay     10201215  10201215  10200100  10200145
Dominic   Hemmings  Brian     Springer   10190930  10200100  10190930  10190915
Adrian    Mackenzie Julian    Ogden      10200900  10210945  10210900  10210245
Jacob     Cornish   Adrian    Harris     10190400  10210930  10190445  10190815
Virginia  Bailey    Julian    Ogden      10190900  10190900  10210200  10210945
Warren    Johnston  Julian    Ogden      10190900  10210200  10210230  10210230
Eric      Metcalfe  Brian     Lewis      10190245  10210445  10210430  10200145
Jessica   Buckland  Elizabeth Short      10190415  10190430  10190445  10211100
Rose      Dyer      Brian     Springer   10210315  10190930  10191045  10200130
Kevin     Hughes    Brian     Lewis      10210445  10200130  10200145  10190200
Ella      Coleman   Brian     Springer   10190900  10200100  10210300  10200100
Anna      Gibson    Liam      Mackay     10191130  10200115  10211015  10191115
Harry     Butler    Brian     Springer   10191000  10190930  10191000  10210300
Keith     Wilkins   Robert    Anderson   10200415  10191145  10191045  10191015
Sean      Clark     Nicola    Wright     10211045  10190900  10200315  10190915
Rachel    Metcalfe  Brian     Springer   10191015  10200100  10191015  10200130
Joshua    Brown     Brian     Springer   10210345  10200145  10190900  10210300
Edward    Gray      Brian     Springer   10190930  10210330  10190930  10191030
Luke      Butler    Brian     Lewis      10210800  10190230  10210430  10210430
Anna      Thomson   Brian     Lewis      10210400  10210830  10190200  10210800
Paul      Greene    Elizabeth Short      10200830  10190415  10190400  10211100
Diane     Robertson Elizabeth Short      10191000  10191000  10191015  10200815
Peter     MacDonald Nicola    Wright     10200330  10211015  10190900  10211030
Ruth      Avery     Julian    Ogden      10200930  10200930  10210900  10210230
Amanda    Hunter    Julian    Ogden      10200930  10190930  10200900  10200915
Jack      Graham    Robert    Anderson   10191130  10210915  10210930  10191115
Neil      Watson    Robert    Anderson   10191145  10210945  10191015  10200445
Penelope  Burgess   Nicola    Wright     10211000  10211000  10200315  10211015
Victoria  Lewis     Elizabeth Short      10211130  10190415  10190400  10211130
Carol     Morrison  Robert    Anderson   10191015  10210900  10191015  10200445
Jennifer  Watson    Julian    Ogden      10200945  10190930  10190915  10210945
Ella      Black     Brian     Springer   10191045  10190915  10191045  10210330
Samantha  Kelly     Brian     Springer   10200115  10200130  10200130  10200115
Bella     Bower     Brian     Springer   10190900  10190900  10210330  10210315
Adam      Parr      Nicola    Wright     10190215  10190245  10211045  10211000
Zoe       Lambert   Adrian    Harris     10190400  10201115  10190800  10210900
Joan      Graham    Adrian    Harris     10210945  10201145  10201130  10190845
Karen     Miller    Adrian    Harris     10190815  10190415  10201100  10190845
Stewart   Bailey    Adrian    Harris     10201100  10210945  10210945  10201130
Felicity  MacDonald Brian     Lewis      10210815  10200145  10210430  10190215
Simon     Ball      Robert    Anderson   10210930  10191015  10210930  10210930
Jason     McLean    Nicola    Wright     10190200  10211030  10200330  10211000
